election,competitive_ratio,upward_monotonicity_failure,downward_monotonicity_failure,compromise_failure,repeal,note1,note2,note3,note4,note5,n_candidates,rank_limit,restrictive_rank_limit,first_round_overvote,ranked_single,ranked_3_or_more,ranked_multiple,total_ballots,condorcet,total_fully_ranked,mean_rankings_used,winner,n_rounds,total_pretally_exhausted,total_posttally_exhausted,total_posttally_exhausted_by_overvote,total_posttally_exhausted_by_skipped_rankings,total_posttally_exhausted_by_abstention,total_posttally_exhausted_by_duplicate_rankings,total_posttally_exhausted_by_rank_limit,total_posttally_exhausted_by_rank_limit_fully_ranked,total_posttally_exhausted_by_rank_limit_partially_ranked,first_round_winner_vote,final_round_winner_vote,first_round_winner_percent,final_round_winner_percent,first_round_winner_place
Minneapolis_11022021_ParkBoardDistrict4,0,,,,,,,,,,2,3,0,6.0,13111.0,388.0,6235.0,25623.0,True,6033.0,1.342,Elizabeth Shaffer,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11900.0,11900.0,61.521,61.521,1
Minneapolis_11022021_ParkBoardDistrict5,0,,,,,,,,,,3,3,0,5.0,11967.0,5363.0,10023.0,30308.0,True,5363.0,1.7,Steffanie Musich,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13330.0,13330.0,60.627,60.627,1
Minneapolis_11022021_ParkBoardDistrict6,0.8907076923076923,,,,,,,,,,4,3,0,11.0,9355.0,9899.0,15167.0,30477.0,True,9899.0,2.022,Cathy Abene,4,11.0,4678.0,4.0,0.0,4674.0,0.0,0.0,0.0,0.0,6444.0,11618.0,26.286,58.567,2
Minneapolis_11052013_Mayor,0.34043552268591887,,,,,,,,,,35,3,1,104.0,11044.0,58944.0,68371.0,80101.0,True,58944.0,2.602,BETSY HODGES,35,104.0,15539.0,37.0,0.0,5414.0,0.0,10088.0,9079.0,1009.0,28956.0,38857.0,36.488,60.886,1
Minneapolis_11052013_PRBoardDistrict2,0,,,,,,,,,,2,3,0,0,3298.0,196.0,2756.0,8458.0,True,2702.0,1.488,JON OLSON,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4070.0,4070.0,67.228,67.228,1
Minneapolis_11052013_PRBoardDistrict6,0,,,,,,,,,,2,3,0,2.0,7342.0,285.0,6397.0,18523.0,True,6305.0,1.486,BRAD BOURN,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8903.0,8903.0,64.801,64.801,1
Minneapolis_11052013_Ward13CityCouncil,0.22792832167832167,,,,,,,,,,5,3,1,2.0,1832.0,6464.0,8627.0,10742.0,True,6464.0,2.443,LINEA PALMISANO,5,2.0,696.0,5.0,0.0,582.0,0.0,109.0,72.0,37.0,4452.0,5059.0,42.57,51.823,1
Minneapolis_11052013_Ward5CityCouncil,0.5129198966408268,,,,,,,,,,4,3,0,2.0,1070.0,1914.0,2429.0,3622.0,True,1914.0,2.241,BLONG YANG,4,2.0,262.0,0.0,0.0,262.0,0.0,0.0,0.0,0.0,1475.0,1841.0,42.179,56.909,1
Minneapolis_11052013_Ward9CityCouncil,0.21332616872649113,,,,,,,,,,6,3,1,1.0,920.0,2343.0,3259.0,4310.0,True,2343.0,2.34,ALONDRA CANO,6,1.0,434.0,0.0,0.0,281.0,0.0,153.0,86.0,67.0,1698.0,1987.0,40.632,53.057,1
Minneapolis_11062009_Mayor,0,,,,,,,,,,11,3,1,0,24236.0,14152.0,20921.0,45968.0,True,14152.0,1.777,R.T. Rybak,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33234.0,33234.0,73.597,73.597,1
