precinct,Total,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
415700,1074.8012079999999,81.18267300000001,288.166928,36.355386,51.533568,19.849306000000002,499.237657,98.47568999999999
415600,1397.8561530000002,113.86499099999999,353.01974699999994,49.654547,70.488292,40.166581,593.088039,177.57395599999998
415400,1448.254644,107.101303,246.340494,66.11784399999999,54.158864,10.325189,810.7525179999999,153.45843200000002
458200,1151.5626780000002,304.31525,183.846131,10.714023,212.72767000000002,11.0,267.981604,160.978
458100,1299.4693849999999,302.02937499999996,69.91624,19.87782,198.378585,5.0,518.249,186.018365
415300,1936.1616929999998,204.02027999999996,414.777147,68.523106,85.21838399999999,12.674804,850.8390729999999,300.10889899999995
415200,2272.584014,166.87849200000002,653.882384,53.359044,56.622817999999995,7.0,1091.408574,243.432702
458910,7.257936,1.749681,0.388818,0.0,2.656923,0.0,1.749681,0.712833
458920,29.828736,7.190856,1.597968,0.0,10.919448000000001,0.0,7.190856,2.929608
453400,2210.5651589999998,311.932767,435.50924499999996,45.225927999999996,875.072979,14.27565,318.188306,210.36028399999998
458400,1190.064465,101.908949,129.580941,4.0,791.321642,1.0,77.195956,85.056977
458310,597.967566,181.65528999999998,48.23761,8.408155,123.89369400000001,4.0,124.769211,107.00360599999999
410300,1841.927092,130.26177499999997,364.54194699999994,75.416138,63.031613,36.965921,944.5034119999999,227.206286
546010,1228.742663,970.996172,86.749043,79.249681,68.249681,1.749043,8.0,13.749043
510920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866920,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
866910,39.0,27.0,0.0,0.0,5.0,1.0,0.0,6.0
867310,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
867320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839500,83.97283999999999,16.194761999999997,0.0,0.0,59.980599999999995,0.0,0.0,7.797477999999999
838800,630.090395,85.558336,2.0703389999999997,0.0,507.81009800000004,2.0,3.376335,29.275287
839030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
839120,8.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0
838120,811.764906,50.946994,4.633776,0.0,719.0754730000001,0.209062,10.627186,26.272415
838000,945.965223,187.48409900000001,3.7058400000000002,0.763828,694.6973090000001,0.0,11.997838,47.316309000000004
839400,368.3267890000001,45.817758,1.114902,0.0,308.00518700000003,0.0,0.0,13.388942
839000,33.99686,6.0,3.0,0.0,10.499215,0.0,7.0,7.497645
830460,2.00314,0.0,0.0,0.0,0.500785,0.0,0.0,1.502355
850700,38.396418000000004,7.491984,0.0,0.936498,21.539454000000003,0.0,0.936498,7.491984
867200,130.587008,79.77109999999999,0.0,0.0,9.57711,0.0,24.915422,16.323376
867410,5.412928,4.2288499999999996,0.0,0.0,0.422885,0.0,0.084577,0.676616
839390,230.788392,15.803168,1.481547,0.0,209.619473,0.493849,1.481547,1.908808
839520,32.841405,4.00881,0.10279,0.0,27.599115,0.0,0.0,1.13069
839530,713.5157340000001,61.54486,6.981403,1.0,606.540429,0.0,3.623665,33.825377
839100,1538.374899,68.589682,31.825351,0.0,1370.221842,2.999999,20.187793999999997,44.550231
839020,362.01059599999996,19.495644,4.881328,1.0,302.523664,0.0,19.436308,14.673652
546000,1637.851588,453.34550399999995,115.047941,12.072026,824.18138,21.0,57.003976,155.20076100000003
839300,22.334498999999997,6.610702,0.0,0.944375,7.108418,0.0,3.777511,3.893493
839310,87.33137500000001,33.610027,0.57501,0.287505,45.958712999999996,0.287505,3.1625550000000002,3.45006
838300,1514.667028,176.538913,6.0,2.125316,1228.468942,6.0,31.375948,64.157909
838200,2670.0,241.0,35.0,12.0,2207.0,1.0,99.0,75.0
838400,1666.639566,258.696686,12.0,12.785184000000001,1254.2528370000002,0.0,35.455244,93.44961500000002
867110,30.34465,11.40679,0.0,0.0,7.46893,0.0,0.0,11.46893
520800,2906.408833,550.78343,173.82466,18.483558000000002,1726.326085,11.479541000000001,181.450774,244.060785
866840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
546200,3372.0,939.0,239.0,30.0,1710.0,9.0,152.0,293.0
866800,462.108186,346.63836599999996,2.681356,0.0,41.483081999999996,4.999524,12.681356000000001,53.624502
499000,12.0,1.0,0.0,1.0,1.0,0.0,0.0,9.0
866820,144.867776,111.342356,1.318644,0.0,17.515252,0.0,0.318644,14.372879999999999
870120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
520720,107.0,45.0,2.0,0.0,43.0,0.0,4.0,13.0
870000,359.80951200000004,235.6886,0.0,0.0,103.14080799999999,0.51134,2.246556,18.222208000000002
520760,738.828309,369.008135,14.821691999999999,3.485141,245.731779,0.0,36.128524999999996,69.653037
520840,761.000972,434.00060199999996,3.0,1.0,182.000278,2.0,28.0,111.000092
870010,276.259827,163.925164,0.0,0.0,71.859118,0.48866,10.788226,29.198659
520700,1156.170682,316.991502,13.178296,6.514858,639.26783,8.999976,30.871434,140.346786
520650,1644.0,588.0,67.0,5.0,803.0,5.0,56.0,120.0
522200,993.0,596.0,8.0,4.0,298.0,3.0,5.0,79.0
523600,1249.3522790000002,669.3084910000001,6.159978,0.534229,434.960811,3.8113159999999997,22.248285,112.32916900000001
520600,729.0,426.0,16.0,1.0,129.0,1.0,63.0,93.0
523800,1314.0,680.0,7.0,3.0,480.0,0.0,28.0,116.0
830400,4.883515,0.0,0.0,0.0,0.976703,0.0,0.0,3.906812
838700,1810.3498590000002,314.76157200000006,27.572836999999996,0.825311,1297.35875,7.0,41.175325,121.656064
839510,786.625086,37.410317,6.174646,1.0,705.7781540000001,1.0,8.812205,26.449764000000002
838600,1441.3516349999998,270.396712,19.259505,2.174689,1027.21716,0.0,16.159271,106.14429799999999
838500,1732.991912,319.606117,22.167658,2.0895,1253.7023109999998,4.0,48.834212,82.59211399999998
464650,739.39418,264.87158600000004,18.250869,0.467971,363.613467,0.0,29.950144,62.240143
475540,1453.1427319999998,328.328538,50.74262,5.237146,922.082032,1.0,34.894842,110.857554
475400,183.55747000000002,60.143617000000006,4.839558,0.062177,97.94610399999999,0.0,5.857393,14.708621
464640,409.77024800000004,202.226161,8.923297,0.629124,127.564441,0.0,19.996873,50.430352
475520,836.918896,277.24556,29.220283,1.061907,420.09181,2.0,25.167240999999997,82.13209499999999
475500,952.4878779999999,245.162421,42.688599999999994,2.176481,536.576688,7.0,34.069355,84.81433299999999
475530,67.390124,24.654466000000003,4.46089,1.005472,15.338874,2.0,6.542694,13.387728000000001
850410,1455.30339,485.25432,41.0,13.03179,545.73117,15.0,174.03179,181.25432
422950,718.4736720000001,35.163394000000004,17.106516,0.950362,517.9472900000001,9.50362,79.830408,57.972082
422930,1105.59424,103.44672,32.96448,11.0,812.77184,21.0,29.0,95.41120000000001
492010,92.68868,28.930425,6.0,0.0,14.503302,0.0,13.751650999999999,29.503301999999998
850610,1280.8326849999999,228.350269,23.130736,23.147165,404.304946,18.660032,402.856858,180.382679
422900,2017.627618,322.222062,108.759511,20.209874999999997,802.90371,76.452213,443.022755,244.057492
492000,449.001216,188.356901,9.524702999999999,0.0,185.801423,0.0,10.017831000000001,55.300357999999996
422810,1546.697246,170.985976,78.223456,8.113304,878.9774000000001,42.760372000000004,250.859416,116.777322
476100,1400.7473579999998,406.47991900000005,62.733325,0.0,741.132704,0.0,42.403028,147.998382
850500,2933.7542949999997,485.12511099999995,90.31534599999999,22.710852999999997,1235.2117359999997,52.339968,667.040704,381.010577
850600,2199.41302,456.52462,148.553918,63.141982,667.483318,36.0,528.102438,299.606744
422800,1247.876532,261.341978,45.510368,10.3152,433.74920199999997,57.778114,258.20436,180.97731
492110,53.660264,11.3687,0.454748,0.0,28.194376,0.0,0.909496,12.732944
423300,1458.0546310000002,331.424962,72.463936,24.817004,316.72985400000005,46.248253999999996,444.49544499999996,221.87517599999998
492140,8.027424,5.351616,0.0,0.0,2.675808,0.0,0.0,0.0
492120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
491640,46.003163,30.001707,2.0001640000000003,0.0,9.999528000000002,0.000253,0.00041200000000000004,4.001099
820000,27.146155,11.334907000000001,5.811508,0.999974,0.999974,0.0,0.0,7.999792
851500,1185.960828,456.53995299999997,40.625567,7.7745169999999995,397.14554599999997,22.526566,104.53933799999999,156.809341
851800,1636.3634939999997,418.70710699999995,55.809582,15.852741,607.281609,45.748154,240.99111100000002,251.97319000000002
831830,1064.454448,243.14624599999996,25.215687,8.426675,476.398861,21.970139,145.458491,143.838349
491600,308.422089,163.79758900000002,14.795071,0.0,42.156107000000006,0.0,59.878928,27.794393999999997
490040,19.40544,11.642958,0.970408,0.0,0.0,0.970238,0.970238,4.851598
433800,530.933905,268.58156099999997,42.060595,0.957602,134.51084500000002,3.352627,26.075559000000002,55.395115999999994
491630,179.135896,77.14224200000001,9.998558,0.0,21.641603,0.999857,19.251511,50.102125
499020,8.378874,6.383904,0.0,0.531992,0.531992,0.0,0.132998,0.797988
498300,40.161806999999996,30.599472,0.0,2.549956,2.549956,0.0,0.637489,3.824934
851900,1357.0,359.0,63.0,21.0,420.0,11.0,301.0,182.0
831930,2087.035591,401.306776,78.293285,47.010901000000004,789.910165,39.029861,456.936707,274.54789600000004
831810,1248.9874009999999,352.84675899999996,40.113607,5.6920280000000005,585.5334310000001,1.461352,111.87509399999999,151.46513
831800,1669.773988,418.936004,59.943152,7.734618,892.934184,17.156412,106.977588,166.09203000000002
423620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423610,1725.0,345.0,92.0,15.0,850.0,19.0,226.0,178.0
491650,13.798262,4.848038,0.0,0.0,3.356334,0.0,0.745852,4.848038
433710,717.3336999999999,210.932996,119.147414,3.1411059999999997,266.037116,2.000004,60.791547,55.283516999999996
433610,1193.941988,395.441302,136.934982,0.070132,386.737356,8.327245000000001,103.934994,162.49597699999998
433600,500.85713400000003,112.30919999999999,39.117774999999995,4.2838259999999995,256.648992,6.991212,32.117732000000004,49.388397
823020,0.004116,0.0034159999999999998,1.4e-05,0.0,0.000364,0.0,4.2e-05,0.00028
821130,512.4105069999999,235.825241,16.645616999999998,0.0,187.88464299999998,3.217933,26.585388999999996,42.251684
831820,709.886042,216.519472,19.352631,4.573354,323.052412,4.382236,41.153962,100.85197500000001
831510,1531.139582,398.162545,35.453152,8.036493,895.898091,4.289268,64.472402,124.827631
831500,1650.677354,382.731048,40.796276,7.963507,985.693444,2.710732,88.52759800000001,142.254749
831310,1660.322164,278.17442600000004,37.659217999999996,3.2576039999999997,1103.821232,13.0,86.83364399999999,137.57604
423630,14.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0
831210,1253.4056110000001,293.990355,22.542147,0.6252409999999999,748.995193,2.849751,59.165803,125.237121
490200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
811000,6.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0
823010,184.46883400000002,78.553714,0.882626,0.0,45.013926,0.0,25.596154000000002,34.422414
821400,1694.681314,324.36338299999994,73.189814,27.040054,884.35833,13.054778,213.42410999999998,159.250845
821500,1633.3062160000002,301.633433,73.810208,17.956549,927.6398670000001,34.944709,105.57387899999999,171.747571
821510,1410.580888,165.58743600000003,51.593946,25.509233000000002,666.0858769999999,50.769597,279.76602399999996,171.268775
423700,38.557824000000004,9.083810999999999,9.239578999999999,0.024586,4.279744,2.779119,9.659930999999998,3.491054
810900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
810910,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424510,398.999855,148.999933,33.999986,11.999997,103.999979,6.9999970000000005,23.999989,68.999974
424400,1534.0313990000002,289.74269599999997,194.467844,27.547954,384.33288999999996,32.279434,402.69041999999996,202.97016099999996
821600,1050.6347299999998,129.47040199999998,27.082196,37.674743,397.720833,33.230403,244.538252,180.917901
823300,1932.74345,273.37211499999995,92.469341,56.929784,502.050838,20.276564,783.5281470000001,204.116661
423800,135.817135,32.271755,33.184659,8.000891,13.090906,9.593762,23.357986,16.317176
424500,508.0,153.0,24.0,7.0,134.0,9.0,90.0,91.0
823000,1118.48968,192.033537,71.794835,18.000056,350.154881,5.999948,314.092045,166.414378
823100,2011.5952590000002,270.600845,60.316869,70.178376,313.04477999999995,24.723436,944.3222000000001,328.408753
424000,1460.26495,279.59482,78.60296,26.868336,475.72726800000004,37.57656,321.77913000000007,240.11587600000001
424600,1684.3848220000002,330.724772,39.296912999999996,39.631725,237.555165,26.874377999999997,681.3339940000001,328.96787500000005
424200,118.27288999999999,24.61898,7.34814,2.177684,23.198892,4.01692,21.54589,35.366384
424300,1351.5894449999998,328.533712,48.235651,34.820265,268.114251,26.84624,356.97676,288.062566
820010,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
830410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830520,59.0,26.0,11.0,1.0,4.0,0.0,9.0,8.0
822030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823750,704.0,64.0,35.0,0.0,540.0,2.0,18.0,45.0
422920,1477.105632,71.935064,66.45489599999999,7.025272,1143.77324,33.25272,45.122848,109.54159200000001
851510,1201.774246,391.28705,22.298872,5.3686229999999995,534.5453669999999,20.794369,100.229229,127.250736
851300,1749.806206,389.531842,55.503462999999996,19.136325,719.8939680000001,23.625936,270.376174,271.738498
830320,711.1004790000001,89.08476399999999,9.673834,1.3e-05,578.659018,3.9e-05,7.995687,25.687124
851700,1447.858451,418.467009,28.676268,13.340254,568.004718,25.522229,167.859048,225.988925
830510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850830,60.300192,9.253696,6.0,0.031712,40.729376,0.0,0.031712,4.253696
850150,0.08488000000000001,0.0,0.0,0.0,0.016976,0.0,0.0,0.067904
850100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850800,2815.7669519999995,450.908844,111.89529200000001,31.382432,676.45658,65.0,1089.207964,390.91584000000006
850820,2518.233048,237.091156,78.10470799999999,2.617568,1986.54342,6.0,64.792036,143.08416
851000,1799.4139460000001,476.864484,41.216096,17.816694,613.2141799999999,26.967128,410.76780199999996,212.567562
850900,1817.586054,631.135516,68.783904,35.183306,552.7858200000001,32.032872,252.232198,245.432438
830450,0.031605,0.0,0.0,0.0,0.006321,0.0,0.0,0.025284
823710,1281.483936,46.517536,41.479664,0.0,1017.809312,21.319776,73.078544,81.279104
850810,1768.0,360.0,76.0,36.0,667.0,53.0,369.0,207.0
852200,1752.001485,351.000513,67.000054,46.000027,348.000414,14.0,682.00027,244.000207
851200,1554.953377,396.158583,41.387083000000004,21.24829,550.82591,28.100299,304.98549899999995,212.24771299999998
