precinct,Precinct Pop.,Hispanic,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Two or more races
823100,2011.5952590000002,1537.961974,60.919641999999996,57.25836699999999,5.0,299.89852499999995,14.381245,1.0,35.175506
424000,1460.26495,573.9986879999999,209.52638000000002,68.60296,1.0,472.0262860000001,33.57656,8.707558,92.826518
424600,1684.3848220000002,1118.708544,204.659029,32.428104,4.034112,234.555165,26.874377999999997,2.0,61.12548999999999
424200,118.27288999999999,50.572732,19.251179999999998,6.34814,0.0,22.899874,4.01692,1.2924419999999999,13.891602
424300,1351.5894449999998,705.007703,246.93877399999997,43.204485999999996,5.32299,266.4357,25.84624,2.0,56.833552
820010,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
830410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
830520,59.0,20.0,20.0,11.0,1.0,3.0,0.0,0.0,4.0
822030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
422940,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
823750,704.0,31.0,63.0,33.0,0.0,538.0,2.0,4.0,33.0
422920,1477.105632,116.310632,67.88452000000001,64.429624,2.0,1126.697424,30.25272,9.0,60.530712
851510,1201.774246,208.90130299999998,348.38903,21.285629,2.29269,529.445221,19.794369,7.9045559999999995,63.761448
851300,1749.806206,537.662197,327.471422,46.503462999999996,0.0,713.8939680000001,23.625936,7.0,93.64922
830320,711.1004790000001,23.545407,81.084673,9.673834,0.0,578.659018,3.9e-05,1.000065,17.137442999999998
851700,1447.858451,363.202834,373.51097400000003,25.676268,0.0,565.669622,25.522229,5.407452,88.869072
830510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850830,60.300192,4.31712,6.15856,6.0,0.0,40.665952,0.0,0.0,3.15856
850150,0.08488000000000001,0.033952,0.0,0.0,0.0,0.016976,0.0,0.0,0.033952
850100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
850800,2815.7669519999995,1572.5803959999998,289.643904,100.89529200000001,5.0,670.71266,60.0,10.065976,106.868724
850820,2518.233048,154.419604,211.35609599999998,77.10470799999999,1.0,1985.2873399999999,6.0,1.934024,81.131276
851000,1799.4139460000001,630.235956,402.839012,32.732532,5.626334,598.2141799999999,26.967128,11.644752,91.15405200000001
850900,1817.586054,511.764044,543.1609880000001,61.267468,11.373666,547.7858200000001,32.032872,15.355248,94.845948
830450,0.031605,0.012642,0.0,0.0,0.0,0.006321,0.0,0.0,0.012642
823710,1281.483936,111.19776,34.877984,40.479664,0.0,1012.809312,21.319776,0.0,60.79944
850810,1768.0,620.0,287.0,74.0,6.0,653.0,50.0,2.0,76.0
852200,1752.001485,1026.000486,245.000441,64.000045,5.000018,346.000414,9.0,5.0,52.000081
851200,1554.953377,497.222573,345.785626,39.071992,6.630182,539.9458099999999,25.035201,7.097647,94.16434599999998
852100,2173.0,912.0,316.0,58.0,4.0,749.0,41.0,16.0,77.0
852000,1498.362656,566.95763,327.81604300000004,30.479677000000002,0.0,486.038103,16.479677,2.6716230000000003,67.919903
852010,1669.876441,555.157168,343.926517,20.944827999999998,3.369802,599.121751,19.859186,15.23073,112.26645900000001
851600,1021.665078,318.096137,307.339409,24.260592000000003,2.0,307.787102,13.0,0.389635,48.792203
830500,2813.7930610000003,99.450332,229.862583,29.312915,8.0,2380.3046480000003,0.0,12.0,54.862583
830420,1699.92058,25.162455,63.0,13.0,1.0,1549.425995,3.0,8.0,37.33213
830430,110.07942,5.8375449999999995,0.0,0.0,0.0,102.574005,0.0,0.0,1.66787
822000,1198.790664,63.142675999999994,130.579256,42.994662000000005,3.670934,884.103294,4.892639999999999,5.87236,63.534842
824000,829.001053,113.000156,58.000117,42.000091,0.0,576.00065,5.000026,0.0,35.000013
830100,1189.885464,97.220719,138.276834,33.059856,0.0,872.298127,2.0,3.003741,44.026187
831100,1856.5776580000002,227.08745599999997,196.91485199999997,56.84431800000001,1.150092,1306.7173850000001,4.431394,16.515401,46.916760000000004
831000,1823.3975839999998,249.81989100000004,208.132,55.081585999999994,0.849908,1219.339529,18.56867,10.554869,61.051131
821800,2490.8939499999997,286.054412,179.725792,139.855826,12.0,1726.669232,32.260068000000004,16.0,98.32862
